from,to,weight,relationship,time
Schneider,N,3,4,1
Schneider,CPW,2,4,99
Schneider,CGF,2,9,99
Freixe,N,2,4,5
Freixe,CPW,2,4,99
Freixe,LUX,2,4,99
Freixe,CGF,1,4,99
Freixe,GAN,3,4,1
Johnson,N,2,4,5
Johnson,GS1,2,4,99
Bula,N,2,4,5
Bula,Schindler,2,7,1
Bula,Novartis,2,4,1
Bula,CPW,3,4,99
Bula,FLTS,2,4,99
Settembri,N,2,4,5
Settembri,FDE,3,3,99
Settembri,AIM,1,8,99
Roger,N,2,4,1
Batato,CARL B,2,4,1
Batato,wbcsd,2,8,99
Batato,IDH,2,6,99
Batato,N,2,4,5
Palzer,SFN,3,3,1
Palzer,N,2,4,3
Guillaume-Grabisch ,N,2,4,1
Guillaume-Grabisch ,Loreal,2,4,1
Geale,N,2,4,5
Geale,CEELI,2,8,99
Behar,N,2,4,5
Behar,Cerecin,2,4,99
Behar,ST,2,4,2
Behar,AH,2,4,99
Behar,Amazentis,2,4,99
Behar,PB,2,4,99
Behar,NSP,3,4,99
Behar,NIH,1,4,2
Bahadur,FDE,3,3,1
Settembri,ADM,3,4,2
Luciano,ECC,2,3,99
Luciano,CCC,2,3,99
Luciano,GABKS,2,5,99
Luciano,ADM,3,4,2
Bard,ADM,2,4,2
Bard,ECA,2,5,99
Bard,CALS,4,5,99
Batiste,ADM,2,4,99
Batiste,ISM,4,5,99
Barker,ADM,99,99,99
Cuddy,ADM,2,4,5
Cuddy,CRA,2,4,99
Dambrose,ADM,2,4,99
Dambrose,JAG,3,8,99
Dambrose,RDC,2,4,99
Dambrose,CAHRS,3,4,99
Dambrose,SHRM,2,3,99
Dambrose,CES,4,5,99
Dambrose,USC,3,8,99
Dambrose,HTA,3,10,99
Dambrose,HR,1,3,99
Dambrose,CHRO,1,3,99